,id,brand,car_type,car_model,problem_desc,problem_dict,complain_time,status
172,570963,华晨宝马,宝马5系,2018款 530Li 领先型 豪华套装 改款,华晨宝马5系前大灯开裂希望厂家质保,"H220,",2021-02-07,处理反馈
173,570959,东风日产,启辰T70,2016款 2.0L CVT 睿趣版,启辰T70高速时转向卡顿希望厂家处理问题,"D123,",2021-02-07,信息审核
174,570954,东风标致,标致3008,2014款 1.6THP 自动逐乐版,东风标致3008发动机有烧机油现象,"A63,",2021-02-07,处理反馈
175,570952,上汽大众,途昂,2019款 530 V6 四驱 旗舰版 国VI,上汽大众途昂底盘平衡杆异响维修无配件,"N318,",2021-02-07,用户评分
176,570951,海马汽车,海马8S,2019款 1.6TGDI 自动 潮版,海马8S介绍新客户赠送奖励金承诺未兑现,"L314,",2021-02-07,信息审核
177,570946,一汽-大众奥迪,奥迪A4L,2015款 2.0T CVT 自动 豪华型,一汽大众奥迪A4L节温器和水泵漏防冻液,"A37,",2021-02-07,信息审核
178,570944,上汽大众,途铠,2019款 1.5L 自动 舒适版,上汽大众途铠电瓶长期低电量报警,"H146,",2021-02-07,用户评分
179,570943,奥迪（进口）,奥迪A5,2019款 Sportback 40 TFSI 时尚型,进口奥迪A5大灯有维修痕迹4S店销售问题车,"M284,",2021-02-07,信息审核
180,570939,北京奔驰,奔驰GLB,2020款 改款 GLB 200 时尚型,北京奔驰GLB未安装碳罐电磁阀阻尼器,"Q322,",2021-02-07,信息审核
181,570938,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲驰版,雪铁龙C4L发动机正时链条异响 动力消失,"A255,A45,",2021-02-07,处理反馈
182,570936,丰田（进口）,埃尔法,2019款 2.5L 双擎 豪华版,丰田埃尔法行驶时副驾驶座椅异响,"H164,",2021-02-07,信息审核
183,570932,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 豪华型,奇瑞瑞虎8水泵损坏防冻液渗漏导致高温,"A191,A221,",2021-02-07,处理反馈
184,570928,上汽通用五菱,新宝骏RC-5,2020款 1.5T CVT 智耀旗舰型,新宝骏RC-5方向盘异响 中央扶手箱翘起,"D59,H168,H209,",2021-02-07,处理反馈
185,570927,上汽大众,帕萨特新能源,2020款 430PHEV 混动豪华版 国VI,上汽大众帕萨特新能源发动机异响故障灯亮,"A9,A34,B19,",2021-02-07,用户评分
186,570922,奇瑞汽车,瑞虎3x,2020款 质享版 1.5L CVT 豪华版,奇瑞瑞虎3x变速器故障灯亮 发动机熄火,"A34,A14,B96,",2021-02-07,用户评分
187,570921,福田汽车,祥菱V,2018款 1.2L 半承载 3070轴距(厢车)4W12M1,福田祥菱V车厢无法锁止 手续不齐全,"H149,O353,",2021-02-07,信息审核
188,570920,东风日产,蓝鸟,2020款 1.6L CVT 智联智酷版,东风日产蓝鸟普利司通轮胎鼓包质量差,"F39,",2021-02-07,信息审核
189,570919,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳变速箱顿挫 油泵和后视镜异响,"B19,H78,H211,",2021-02-07,处理反馈
190,570916,中兴汽车,领主,2019款 2.5T 手动 四驱 乘用版 超豪华型 标双 柴油,中兴领主冬季时发动机启动困难希望厂家处理,"A44,",2021-02-07,信息审核
191,570915,广汽三菱,奕歌,2019款 1.5T CVT 两驱 信念版 国VI,广汽三菱奕歌行驶时天窗异响影响正常驾驶,"H89,",2021-02-07,厂家受理
192,570913,一汽红旗,红旗H5,2020款 1.8T 自动 智联旗领版,红旗H5中控显示屏花屏黑屏 中控台异响,"H134,H93,",2021-02-07,信息审核
193,570911,长安福特,福睿斯,2015款 1.5L 手动 时尚型,长安福特福睿斯主驾驶侧车窗升降失灵,"H67,",2021-02-07,处理反馈
194,570906,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾车钥匙亏电导致无法使用,"H119,",2021-02-07,处理反馈
195,570904,东风日产,劲客,2017款 1.5L CVT 智行版,东风日产劲客优科豪马轮胎鼓包起皮	,"F186,F39,",2021-02-07,信息审核
196,570903,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾副驾驶侧B柱出现异响,"H15,",2021-02-07,处理反馈
197,570902,奇瑞汽车,瑞虎5x,2017款 1.5T 手动 精英型,奇瑞瑞虎5x车门生锈门把手漆面鼓包座垫开裂,"H79,H81,H169,",2021-02-07,处理反馈
198,570901,一汽-大众捷达,捷达VS5,2019款 280TSI 自动 悦享型,捷达VS5车速慢时刹车有异响现象,"E43,",2021-02-07,信息审核
199,570900,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,现代领动变速箱异响 方向盘有异响,"B33,D59,",2021-02-07,信息审核
200,570899,一汽丰田,威驰,2017款 1.5L CVT 创行版,一汽丰田威驰变速箱有拖挡异响现象,"B33,B69,",2021-02-07,信息审核
201,570896,东风本田,本田CR-V,2021款 240TURBO CVT 两驱 风尚版,东风本田CR-V加速时变速箱有异响,"B33,",2021-02-07,处理反馈
202,570895,东风标致,标致408,2020款 360THP 十周年纪念版,标致408发动机敲缸 佳通轮胎鼓包,"A191,A160,F39,H234,",2021-02-07,处理反馈
203,570894,一汽-大众,速腾,2014款 1.4TSI 手动 豪华型 改款,一汽大众速腾车身稳定和ABS故障灯亮,"E74,H170,",2021-02-07,处理反馈
204,570893,广汽丰田,YARiS L 致享,2017款 1.5E CVT 魅动版,广汽丰田致享涨紧轮问题要求更换,"A45,",2021-02-07,信息审核
205,570891,一汽奔腾,奔腾B30,2016款 1.6L 手动 豪华型,奔腾B30发动机抖动 多缸失火 方向盘卡滞,"A24,D123,",2021-02-07,处理反馈
206,570889,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,大众探岳油耗高 颗粒捕捉器堵塞,"A85,A255,A114,",2021-02-07,处理反馈
207,570887,北京现代,领动,2018款 1.4T 双离合 炫动·活力型,北京现代领动加速时异响 起步抖动,"A24,C65,",2021-02-07,信息审核
208,570885,奇瑞汽车,艾瑞泽GX,2018款 1.5T 手动 型色版,奇瑞艾瑞泽GX方向盘不正多次维修未解决,"D154,J298,",2021-02-07,处理反馈
209,570883,一汽-大众奥迪,奥迪A4L,2015款 quattro 2.0T 双离合 个性运动型,一汽大众奥迪A4L变速箱变矩器异响严重,"B33,",2021-02-07,信息审核
210,570882,江淮汽车,瑞风S2,2015款 1.5L CVT 豪华智能型,江淮瑞风S2变速箱起步冲击打滑无法行驶,"B19,B27,",2021-02-06,用户评分
211,570877,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机故障灯亮 车窗按键故障,"A34,H67,",2021-02-06,处理反馈
212,570873,众泰汽车,众泰T500,2018款 1.5T 手动 尊享型 5座,众泰T500电子手刹故障无法质保维修,"E159,",2021-02-06,信息审核
213,570869,北京现代,索纳塔,2020款 380TGDi GLS 自动 豪华版,北京现代索纳塔车机系统无法连网要求处理,"H155,",2021-02-06,信息审核
214,570867,广汽本田,雅阁,2015款 2.0L LXS 精英版,广汽本田雅阁变速箱渗油要求厂家尽快解决,"B22,",2021-02-06,处理反馈
215,570864,北汽昌河,昌河Q35,2018款 1.5L 手动 炫智版,昌河Q35方向盘按键失灵 胎压监测故障灯亮,"H134,H203,",2021-02-06,信息审核
216,570862,长安福特,福睿斯,2015款 1.5L 手动 舒适型,长安福特福睿斯热车后变速箱出现异响,"B33,",2021-02-06,处理反馈
217,570861,华晨宝马,宝马X3,2020款 xDrive28i M运动套装,华晨宝马X3天窗遮阳帘开启后无法关闭,"H192,",2021-02-06,用户评分
218,570859,吉利汽车,远景X6,2020款 1.4T CVT 尊贵型,吉利远景X6车载网络报警 胎压报警 车漆开裂,"H81,H155,H203,",2021-02-06,处理反馈
219,570857,东风日产,轩逸,2018款 1.6XV CVT 尊享版,东风日产轩逸变速箱故障导致无法加速,"B334,",2021-02-06,信息审核
220,570854,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚致雅型,一汽大众奥迪A4L大灯进水4S店拒绝索赔,"H88,",2021-02-06,处理反馈
221,570853,广汽丰田,凯美瑞,2008款 240G 2.4 自动 豪华版,广汽丰田凯美瑞严重烧机油要求召回,"A63,",2021-02-06,信息审核
222,570849,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑发动机拉缸行驶中熄火,"A329,",2021-02-06,处理反馈
223,570848,上汽大众斯柯达,柯米克,2020款 1.5L 自动 舒适版,斯柯达柯米克排气管后段锈蚀严重,"H30,",2021-02-06,处理反馈
224,570846,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度启动困难要求厂家召回,"A44,",2021-02-06,处理反馈
225,570840,上汽集团,名爵5,2021款 300TGI DCT 青奢豪享版,上汽名爵5发动机排放系统故障希望处理,"A34,A114,",2021-02-06,用户评分
226,570838,东风雪铁龙,爱丽舍,2014款 1.6L 手动 时尚型,东风雪铁龙爱丽舍油管卡子断裂失去动力,"A255,H168,H75,",2021-02-06,处理反馈
227,570836,北京现代,菲斯塔,2019款 280TGDi 智速版 国VI,北京现代菲斯塔天窗和车身异响希望厂家处理,"H15,H89,",2021-02-06,信息审核
228,570834,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国V,一汽大众探岳倒车时动力不足车灯有白雾,"A163,H82,",2021-02-06,处理反馈
229,570832,上汽大众,途观L,2017款 330TSI 两驱 旗舰版,上汽大众途观L天窗排水管漏水希望厂家处理,"H90,",2021-02-06,处理反馈
230,570831,一汽-大众,探岳,2020款 380TSI 四驱 R-Line智联版,一汽大众探岳后视镜折叠异响车灯有白雾,"A12,H82,H211,H75,",2021-02-06,处理反馈
231,570829,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 精英版 大六座,奇瑞瑞虎8事故维修售后私自喷漆欺骗消费者,"I293,O305,",2021-02-06,处理反馈
232,570828,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 风尚版 国V,一汽丰田RAV4荣放左前半轴防尘套漏油,"G161,",2021-02-06,信息审核
233,570821,吉利汽车,帝豪GL,2018款 1.4T 自动 精英智联型,吉利帝豪GL天窗开裂漏水经销商不予索赔,"H113,H90,I297,",2021-02-06,处理反馈
234,570820,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响夜间视线,"H82,",2021-02-06,处理反馈
235,570818,上汽通用五菱,宝骏530,2020款 1.5T CVT 尊贵互联型 6座,宝骏530发动机故障灯亮希望厂家处理问题,"A34,",2021-02-06,处理反馈
236,570817,广汽丰田,凯美瑞,2019款 2.5G 豪华版 国VI,广汽丰田凯美瑞发动机机油增多乳化,"A339,A13,",2021-02-06,信息审核
237,570812,长安马自达,马自达3 昂克赛拉,2020款 1.5L 自动 质美版,长安马自达昂克赛拉中控异响 车门下沉,"H155,H93,H149,",2021-02-06,处理反馈
238,570811,长安福特,蒙迪欧,2013款 2.0T 自动 GTDi200豪华型,长安福特蒙迪欧行驶中发动机熄火,"A14,",2021-02-06,处理反馈
239,570810,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动转向异响维修后转向沉重,"D156,",2021-02-06,处理反馈
240,570809,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智冷启动发动机异响希望处理,"A9,",2021-02-06,处理反馈
241,570808,SWM斯威汽车,SWM斯威X7,2017款 1.5T 自动 智享型 7座,SWM斯威X7低速换挡时变速箱有顿挫现象,"B19,",2021-02-06,厂家受理
242,570806,一汽-大众,宝来,2019款 宝来·传奇 1.5L 手动 领先型 国V,一汽大众宝来发动机与半轴漏油希望处理,"A12,G51,",2021-02-06,处理反馈
243,570805,比亚迪,比亚迪F3,2010款 1.5 手动 新白金版实用型,比亚迪F3车身大面积生锈希望处理,"H79,",2021-02-06,处理反馈
244,570803,东风标致,标致2008,2014款 1.6L 手动 时尚版,东风标致2008质保期内烧机油不解决,"A63,",2021-02-06,厂家受理
245,570802,长安林肯,冒险家,2021款 2.0T 两驱 尊悦版,林肯冒险家经销商一直提不到车,"L312,",2021-02-06,信息审核
246,570799,领克,领克03,2020款 1.5TD DCT 劲版,领克03电瓶亏电导致无法正常使用,"H146,",2021-02-06,信息审核
247,570797,长城汽车,炮,2020款 2.0T 越野版 自动 汽油 四驱 限量版 拖挂版 GW4C20B,长城炮新车发动机异响明显希望处理,"A9,",2021-02-06,处理反馈
248,570791,东风日产,奇骏,2014款 2.5L XL CVT 四驱 领先版,东风日产奇骏变速箱无法换挡无法加速,"B20,B334,",2021-02-06,处理反馈
249,570789,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度启动机故障导致启动困难,"A44,",2021-02-06,处理反馈
250,570783,北京现代,菲斯塔,2019款 280TGDi 智速版 国VI,北京现代菲斯塔4S店承诺选装配置未兑现,"I293,K309,L313,",2021-02-06,处理反馈
251,570782,东风日产,奇骏,2019款 2.0L CVT 舒适版 5座 2WD,东风日产奇骏冬天启动时排气管冒黑烟,"A114,",2021-02-06,处理反馈
252,570781,东风悦达起亚,智跑,2019款 2.0L 自动 智享豪华版,东风悦达起亚智跑锦湖轮胎脱皮 喷油嘴渗油,"A53,F186,",2021-02-06,处理反馈
253,570780,一汽-大众,高尔夫,2016款 230TSI 自动 舒适型,一汽大众高尔夫行驶时变速箱故障报警,"B96,",2021-02-06,处理反馈
254,570779,一汽-大众,一汽-大众CC,2019款 380TSI 曜颜版,一汽大众CC起步和加油时异响4S店查不出原因,"B33,G56,J301,",2021-02-06,处理反馈
255,570778,上汽通用别克,君威,2019款 20T 精英型 国V,别克君威发动机变速箱故障灯报警,"A34,B96,",2021-02-06,处理反馈
256,570775,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱机电控制单元故障,"B115,",2021-02-06,用户评分
257,570773,凯翼汽车,凯翼C3,2015款 1.5L AMT 黄钻版,凯翼C3变速器脱挡希望尽快得到处理,"B246,",2021-02-06,信息审核
258,570771,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响夜间照明,"H82,",2021-02-06,处理反馈
259,570769,华晨中华,中华V6,2018款 1.5T 自动 尊贵型,华晨中华V6发动机缺缸希望尽快处理,"A24,A163,",2021-02-06,信息审核
260,570763,长安铃木,骁途,2017款 1.6L 手动 两驱 都市时尚型,长安铃木骁途低温无法启动希望尽快处理,"A44,",2021-02-06,信息审核
261,570762,长安福特,探险者,2020款 EcoBoost 285 四驱 钛金版 6座,长安福特探险者变速箱与分动箱连接处漏油,"B22,",2021-02-06,处理反馈
262,570758,东风雪铁龙,凯旋,2006款 2.0L 自动 旗舰型,东风雪铁龙凯旋变速箱三挡锁死 空调不制热,"B20,H101,",2021-02-06,处理反馈
263,570757,猎豹汽车,猎豹CS10,2015款 2.0T 手动  风尚版,猎豹CS10车辆自燃要求立刻解决问题,"H40,",2021-02-06,信息审核
264,570756,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 车载互联劲智型,东风雪铁龙C4L节温器故障导致高温烧机油,"A63,A191,",2021-02-06,处理反馈
265,570755,一汽丰田,亚洲龙,2019款 2.0L 豪华版 国VI,一汽丰田亚洲龙经销商疑似出售问题车,"M284,",2021-02-06,信息审核
266,570754,广汽三菱,欧蓝德,2019款 2.4L 四驱 致享版 5座 国VI,广汽三菱欧蓝德发动机爆震 变速箱拖挡 ,"A18,B69,",2021-02-06,厂家受理
267,570753,广汽丰田,凯美瑞,2007款 240V 2.4 自动 NAVI 至尊导航版,广汽丰田凯美瑞仪表台开裂影响驾驶安全,"H176,",2021-02-06,信息审核
268,570750,奇瑞汽车,捷途X90,2019款 1.5T 自动 尊享型 6座 国V,捷途X90空调出风口调节拨片电镀层脱落,"H101,I294,",2021-02-06,处理反馈
269,570749,上汽大众,凌渡,2017款 230TSI DSG 风尚版,上汽大众凌渡变速箱机电控制单元故障,"B115,",2021-02-06,处理反馈
270,570748,东风日产,天籁,2019款 2.0L XL 舒适版,东风日产天籁钥匙失灵 悬挂异响 车机蓝屏,"G204,H134,H155,H119,",2021-02-06,处理反馈
271,570746,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯不亮 透镜裂痕 雨刮异响,"H82,H60,H220,",2021-02-06,处理反馈
272,570744,一汽-大众,迈腾GTE,2020款 GTE 豪华型,一汽大众迈腾GTE发动机和EPC故障报警,"A9,A34,H89,I295,J301,",2021-02-06,用户评分
273,570741,陕汽,德龙,M3000,陕汽德龙变速箱油封漏油厂家客服态度恶劣,"A12,I297,I293,",2021-02-06,信息审核
274,570740,上汽集团,名爵5,2021款 180DVVT CVT 青春豪华版,上汽名爵5车身胶条破损 音响喇叭卡顿,"H134,H168,",2021-02-06,处理反馈
275,570737,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动异响希望处理,"A9,",2021-02-06,处理反馈
276,570722,一汽-大众捷达,捷达VS5,2019款 280TSI 自动 荣耀型,捷达VS5无法启动 仪表盘故障问题未解决,"A44,H202,I281,",2021-02-06,信息审核
277,570721,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,一汽大众奥迪Q5L起步时变速箱异响,"B33,",2021-02-06,信息审核
278,570720,东风日产,天籁,2020款 2.0T XL Upper AD1 智享领航版,东风日产天籁变速箱顿挫 车门共振 油箱异响,"A9,A24,B19,H147,",2021-02-06,处理反馈
279,570715,广汽本田,飞度,2014款 1.5L CVT SE时尚型,广汽本田飞度发动机冷启动异响希望处理,"A9,",2021-02-06,处理反馈
280,570714,上汽大众,途观L,2019款 280TSI 自动 两驱 全景舒适版 国V,上汽大众途观L行驶过程中变速箱异响顿挫,"B33,B19,",2021-02-06,用户评分
281,570711,东风日产,天籁,2020款 2.0L XL Upper 智行版,东风日产天籁车载智联无法使用厂家不处理,"H155,M279,",2021-02-06,处理反馈
282,570709,上汽大众,途观L,2020款 330TSI 自动 两驱 全景舒适版 国VI,大众途观L经销商不给维修工单希望处理,"O353,",2021-02-06,处理反馈
283,570707,长安汽车,长安欧尚A600,2016款 1.5L 豪华型 7座,长安欧尚A600漆面起泡车身生锈严重,"H79,H81,",2021-02-06,处理反馈
284,570701,上汽通用别克,别克GL6,2018款 18T 精英型 6座,别克GL6行驶时发动机异响希望得到处理,"A9,",2021-02-06,处理反馈
285,570698,一汽红旗,红旗H5,2020款 1.5T DCT 旗韵版,红旗H5后备箱无故弹开影响安全,"H68,",2021-02-06,信息审核
286,570696,北汽新能源,EV系列,2016款 EV160 轻快版,北汽新能源EV电机冷却液过高无配件,"N318,",2021-02-06,处理反馈
287,570689,奇瑞汽车,瑞虎8,2018款 1.5TCI 自动 豪华型 5座,奇瑞瑞虎8变速箱顿挫 发动机抖动 大灯盲区,"A24,B19,G171,H82,",2021-02-05,处理反馈
288,570686,奔驰（进口）,奔驰S级,2020款 S 450 L 4MATIC 臻藏版,进口奔驰S级车机系统失灵 行车电脑报警,"H134,H155,H170,",2021-02-05,处理反馈
289,570680,长城汽车,哈弗H2,2017款 1.5T 手动 两驱舒适型 红标,哈弗H2行驶时变速箱失速无法加速,"A255,B334,",2021-02-05,厂家受理
290,570675,一汽-大众奥迪,奥迪A3,2020款 Limousine 35 TFSI 运动型 国VI,一汽大众奥迪A3事故喷漆后发现大灯有裂痕,"H220,J300,",2021-02-05,信息审核
291,570672,广汽本田,雅阁,2018款 260TURBO 豪华版 国V,广汽本田雅阁刹车盘变形 高速刹车抖动,"E111,E239,",2021-02-05,处理反馈
292,570671,上汽大众,途观L,2019款 330TSI 自动 两驱 全景舒适版 国V,上汽大众途观L车身镀铬装饰条生锈严重,"H79,",2021-02-05,处理反馈
293,570670,奇瑞汽车,瑞虎5,2016款 2.0L CVT 家悦版,奇瑞瑞虎5行驶时后车轮连杆断裂,"G204,",2021-02-05,处理反馈
294,570669,东风日产,逍客,2019款 2.0L CVT 智享版,东风日产逍客经销商加装电动门欺骗销售,"M279,",2021-02-05,用户评分
295,570668,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国Ⅵ,一汽大众探岳大灯不亮且内部有杂质,"H82,",2021-02-05,处理反馈
296,570663,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电控制单元故障,"B115,",2021-02-05,处理反馈
297,570660,上汽大众,凌渡,2015款 330TSI DSG 豪华版,上汽大众凌渡变速箱机电单元故障 车内异味,"B115,H185,",2021-02-05,用户评分
298,570658,江西五十铃,瑞迈,2020款 2.8T 经典 四驱 柴油 国VI 舒适型 加长版 JE493ZLQ6E,五十铃瑞迈刹车泵故障异响 发动机漏水,"A37,E43,E269,J298,",2021-02-05,信息审核
299,570657,广汽丰田,凯美瑞,2016款 2.0G 自动 十周年纪念领先版,广汽丰田凯美瑞前半轴防尘套出现漏油,"G161,",2021-02-05,信息审核
